Date,AAPL,AMZN,TSLA
5/20/13,451578400,2209000,41742000
5/21/13,456022000,1741200,44991000
5/22/13,443038400,3332000,42840000
5/23/13,353021200,2000300,60111000
5/24/13,276166800,1696300,80621000
5/28/13,386145200,3471000,98459500
5/29/13,330576400,1903400,125497500
5/30/13,353519600,1667500,80668500
5/31/13,384302800,3374300,75860000
6/3/13,372352400,2543900,95698000
6/4/13,292728800,2088600,44280500
6/5/13,290589600,3512300,61124000
6/6/13,416934000,2476300,47554500
6/7/13,404535600,4632600,53558000
6/10/13,450153200,3086500,46143000
6/11/13,286112400,3097800,36970000
6/12/13,265227200,2238900,45963500
6/13/13,285832400,2649800,29808000
6/14/13,271866000,2150800,32823500
6/17/13,259414400,2884000,35331000
6/18/13,195025600,2146100,43976500
6/19/13,310940000,2827500,42894500
6/20/13,357310800,2984000,50532500
6/21/13,481118400,4201000,58593000
6/24/13,480746000,3863800,35599000
6/25/13,314162800,2449600,29243500
6/26/13,367724000,3029500,33013000
6/27/13,337246000,2519500,43724500
6/28/13,578516400,3193300,28743000
7/1/13,391053600,2888200,54518000
7/2/13,469865200,3238200,60320500
7/3/13,240928800,1373000,24033500
7/5/13,274024800,1985400,34093500
7/8/13,298138400,3046700,39071000
7/9/13,352584400,2775600,43016500
7/10/13,281405600,1810200,28000500
7/11/13,326292400,4007300,37418000
7/12/13,279563200,4539300,56720000
7/15/13,241917200,2245600,49612000
7/16/13,216538000,2660200,161859500
7/17/13,198990400,2029700,130145000
7/18/13,218878800,3063800,56990500
7/19/13,268721600,2973100,29451500
7/22/13,207796400,2520700,48989000
7/23/13,369395600,1999600,38682000
7/24/13,591936800,2000500,34345000
7/25/13,229493600,5405800,26421500
7/26/13,200152400,8817500,48165500
7/29/13,248057600,3211800,48394500
7/30/13,309422400,3053400,65635000
7/31/13,322957600,1891300,31758500
8/1/13,206250800,2971700,26618000
8/2/13,274783600,2502600,31349500
8/5/13,318855600,2233200,51003500
